country,continent,year,lifeExp,pop,gdpPercap
Central African Republic,Africa,1992,49.396,3265124,747.9055252
Central African Republic,Africa,1997,46.066,3696513,740.5063317
Chad,Africa,1992,51.724,6429417,1058.0643
Chad,Africa,1997,51.573,7562011,1004.961353
Chile,Americas,1992,74.126,13572994,7596.125964
Chile,Americas,1997,75.816,14599929,10118.05318
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
Colombia,Americas,1992,68.421,34202721,5444.648617
Colombia,Americas,1997,70.313,37657830,6117.361746
Comoros,Africa,1992,57.939,454429,1246.90737
Comoros,Africa,1997,60.66,527982,1173.618235
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423
"Congo, Rep.",Africa,1992,56.433,2409073,4016.239529
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376
Costa Rica,Americas,1992,75.713,3173216,6160.416317
Costa Rica,Americas,1997,77.26,3518107,6677.045314
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407
Croatia,Europe,1992,72.527,4494013,8447.794873
Croatia,Europe,1997,73.68,4444595,9875.604515
Cuba,Americas,1992,74.414,10723260,5592.843963
Cuba,Americas,1997,76.151,10983007,5431.990415
Czech Republic,Europe,1992,72.4,10315702,14297.02122
Czech Republic,Europe,1997,74.01,10300707,16048.51424
Denmark,Europe,1992,75.33,5171393,26406.73985
Denmark,Europe,1997,76.11,5283663,29804.34567
Djibouti,Africa,1992,51.604,384156,2377.156192
Djibouti,Africa,1997,53.157,417908,1895.016984
Dominican Republic,Americas,1992,68.457,7351181,3044.214214
Dominican Republic,Americas,1997,69.957,7992357,3614.101285
Ecuador,Americas,1992,69.613,10748394,7103.702595
Ecuador,Americas,1997,72.312,11911819,7429.455877
Egypt,Africa,1992,63.674,59402198,3794.755195
Egypt,Africa,1997,67.217,66134291,4173.181797
El Salvador,Americas,1992,66.798,5274649,4444.2317
El Salvador,Americas,1997,69.535,5783439,5154.825496
Equatorial Guinea,Africa,1992,47.545,387838,1132.055034
Equatorial Guinea,Africa,1997,48.245,439971,2814.480755
Eritrea,Africa,1992,49.991,3668440,582.8585102
Eritrea,Africa,1997,53.378,4058319,913.47079
Ethiopia,Africa,1992,48.091,52088559,421.3534653
Ethiopia,Africa,1997,49.402,59861301,515.8894013
Finland,Europe,1992,75.7,5041039,20647.16499
Finland,Europe,1997,77.13,5134406,23723.9502
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1997,78.64,58623428,25889.78487
Gabon,Africa,1992,61.366,985739,13522.15752
Gabon,Africa,1997,60.461,1126189,14722.84188
Gambia,Africa,1992,52.644,1025384,665.6244126
Gambia,Africa,1997,55.861,1235767,653.7301704
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1997,77.34,82011073,27788.88416
Ghana,Africa,1992,57.501,16278738,925.060154
Ghana,Africa,1997,58.556,18418288,1005.245812
Greece,Europe,1992,77.03,10325429,17541.49634
Greece,Europe,1997,77.869,10502372,18747.69814
Guatemala,Americas,1992,63.373,8486949,4439.45084
Guatemala,Americas,1997,66.322,9803875,4684.313807
Guinea,Africa,1992,48.576,6990574,794.3484384
Guinea,Africa,1997,51.455,8048834,869.4497668
Guinea-Bissau,Africa,1992,43.266,1050938,745.5398706
Guinea-Bissau,Africa,1997,44.873,1193708,796.6644681
Haiti,Americas,1992,55.089,6326682,1456.309517
Haiti,Americas,1997,56.671,6913545,1341.726931
Honduras,Americas,1992,66.399,5077347,3081.694603
Honduras,Americas,1997,67.659,5867957,3160.454906
"Hong Kong, China",Asia,1992,77.601,5829696,24757.60301
"Hong Kong, China",Asia,1997,80,6495918,28377.63219
Hungary,Europe,1992,69.17,10348684,10535.62855
Hungary,Europe,1997,71.04,10244684,11712.7768
Iceland,Europe,1992,78.77,259012,25144.39201
Iceland,Europe,1997,78.95,271192,28061.09966
India,Asia,1992,60.223,872000000,1164.406809
India,Asia,1997,61.765,959000000,1458.817442
Indonesia,Asia,1992,62.681,184816000,2383.140898
Indonesia,Asia,1997,66.041,199278000,3119.335603
Iran,Asia,1992,65.742,60397973,7235.653188
Iran,Asia,1997,68.042,63327987,8263.590301
Iraq,Asia,1992,59.461,17861905,3745.640687
Iraq,Asia,1997,58.811,20775703,3076.239795
Ireland,Europe,1992,75.467,3557761,17558.81555
Ireland,Europe,1997,76.122,3667233,24521.94713
Israel,Asia,1992,76.93,4936550,18051.52254
Israel,Asia,1997,78.269,5531387,20896.60924
Italy,Europe,1992,77.44,56840847,22013.64486
Italy,Europe,1997,78.82,57479469,24675.02446
Jamaica,Americas,1992,71.766,2378618,7404.923685
Jamaica,Americas,1997,72.262,2531311,7121.924704
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Jordan,Asia,1992,68.015,3867409,3431.593647
Jordan,Asia,1997,69.772,4526235,3645.379572
Kenya,Africa,1992,59.285,25020539,1341.921721
Kenya,Africa,1997,54.407,28263827,1360.485021
"Korea, Dem. Rep.",Asia,1992,69.978,20711375,3726.063507
"Korea, Dem. Rep.",Asia,1997,67.727,21585105,1690.756814
"Korea, Rep.",Asia,1992,72.244,43805450,12104.27872
"Korea, Rep.",Asia,1997,74.647,46173816,15993.52796
Kuwait,Asia,1992,75.19,1418095,34932.91959
Kuwait,Asia,1997,76.156,1765345,40300.619960000004
Lebanon,Asia,1992,69.292,3219994,6890.806854
Lebanon,Asia,1997,70.265,3430388,8754.96385
Lesotho,Africa,1992,59.685,1803195,977.4862725
Lesotho,Africa,1997,55.558,1982823,1186.147994
Liberia,Africa,1992,40.802,1912974,636.6229191
Liberia,Africa,1997,42.221,2200725,609.17395079999994
Libya,Africa,1992,68.755,4364501,9640.138501
Libya,Africa,1997,71.555,4759670,9467.446056
Madagascar,Africa,1992,52.214,12210395,1040.67619
Madagascar,Africa,1997,54.978,14165114,986.2958956
Malawi,Africa,1992,49.42,10014249,563.2000145
Malawi,Africa,1997,47.495,10419991,692.2758103
Malaysia,Asia,1992,70.693,18319502,7277.912802
Malaysia,Asia,1997,71.938,20476091,10132.90964
Mali,Africa,1992,48.388,8416215,739.014375
Mali,Africa,1997,49.903,9384984,790.2579846
Mauritania,Africa,1992,58.333,2119465,1361.369784
Mauritania,Africa,1997,60.43,2444741,1483.136136
Mauritius,Africa,1992,69.745,1096202,6058.253846
Mauritius,Africa,1997,70.736,1149818,7425.705295
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mongolia,Asia,1992,61.271,2312802,1785.402016
Mongolia,Asia,1997,63.625,2494803,1902.2521
Montenegro,Europe,1992,75.435,621621,7003.339037
Montenegro,Europe,1997,75.445,692651,6465.613349
Morocco,Africa,1992,65.393,25798239,2948.047252
Morocco,Africa,1997,67.66,28529501,2982.101858
Mozambique,Africa,1992,44.284,13160731,410.8968239
Mozambique,Africa,1997,46.344,16603334,472.3460771
Myanmar,Asia,1992,59.32,40546538,347
Myanmar,Asia,1997,60.328,43247867,415
Namibia,Africa,1992,61.999,1554253,3804.537999
Namibia,Africa,1997,58.909,1774766,3899.52426
Nepal,Asia,1992,55.727,20326209,897.7403604
Nepal,Asia,1997,59.426,23001113,1010.892138
Netherlands,Europe,1992,77.42,15174244,26790.94961
Netherlands,Europe,1997,78.03,15604464,30246.13063
New Zealand,Oceania,1992,76.33,3437674,18363.32494
New Zealand,Oceania,1997,77.55,3676187,21050.41377
Nicaragua,Americas,1992,65.843,4017939,2170.151724
Nicaragua,Americas,1997,68.426,4609572,2253.023004
Niger,Africa,1992,47.391,8392818,581.182725
Niger,Africa,1997,51.313,9666252,580.3052092
Nigeria,Africa,1992,47.472,93364244,1619.848217
Nigeria,Africa,1997,47.464,106207839,1624.941275
Norway,Europe,1992,77.32,4286357,33965.66115
Norway,Europe,1997,78.32,4405672,41283.16433
Oman,Asia,1992,71.197,1915208,18616.70691
Oman,Asia,1997,72.499,2283635,19702.05581
Pakistan,Asia,1992,60.838,120065004,1971.829464
Pakistan,Asia,1997,61.818,135564834,2049.350521
Panama,Americas,1992,72.462,2484997,6618.74305
Panama,Americas,1997,73.738,2734531,7113.692252
Paraguay,Americas,1992,68.225,4483945,4196.411078
Paraguay,Americas,1997,69.4,5154123,4247.400261
Peru,Americas,1992,66.458,22430449,4446.380924
Peru,Americas,1997,68.386,24748122,5838.347657
Philippines,Asia,1992,66.458,67185766,2279.324017
Philippines,Asia,1997,68.564,75012988,2536.534925
Poland,Europe,1992,70.99,38370697,7738.881247
Poland,Europe,1997,72.75,38654957,10159.58368
Portugal,Europe,1992,74.86,9927680,16207.26663
Portugal,Europe,1997,75.97,10156415,17641.03156
Puerto Rico,Americas,1992,73.911,3585176,14641.58711
Puerto Rico,Americas,1997,74.917,3759430,16999.4333
Reunion,Africa,1992,73.615,622191,6101.255823
Reunion,Africa,1997,74.772,684810,6071.941411
Romania,Europe,1992,69.36,22797027,6598.409903
Romania,Europe,1997,69.72,22562458,7346.547557
Rwanda,Africa,1992,23.599,7290203,737.0685949
Rwanda,Africa,1997,36.087,7212583,589.9445051
Sao Tome and Principe,Africa,1992,62.742,125911,1428.777814
Sao Tome and Principe,Africa,1997,63.306,145608,1339.076036
Saudi Arabia,Asia,1992,68.768,16945857,24841.61777
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019
Senegal,Africa,1992,58.196,8307920,1367.899369
Senegal,Africa,1997,60.187,9535314,1392.368347
Serbia,Europe,1992,71.659,9826397,9325.068238
Serbia,Europe,1997,72.232,10336594,7914.320304
Sierra Leone,Africa,1992,38.333,4260884,1068.696278
Sierra Leone,Africa,1997,39.897,4578212,574.6481576
Singapore,Asia,1992,75.788,3235865,24769.8912
Singapore,Asia,1997,77.158,3802309,33519.4766
Slovak Republic,Europe,1992,71.38,5302888,9498.467723
Slovak Republic,Europe,1997,72.71,5383010,12126.23065
Slovenia,Europe,1992,73.64,1999210,14214.71681
Slovenia,Europe,1997,75.13,2011612,17161.10735
Somalia,Africa,1992,39.658,6099799,926.9602964
Somalia,Africa,1997,43.795,6633514,930.5964284
South Africa,Africa,1992,61.888,39964159,7225.069258
South Africa,Africa,1997,60.236,42835005,7479.188244
Spain,Europe,1992,77.57,39549438,18603.06452
Spain,Europe,1997,78.77,39855442,20445.29896
Sri Lanka,Asia,1992,70.379,17587060,2153.739222
Sri Lanka,Asia,1997,70.457,18698655,2664.477257
Sudan,Africa,1992,53.556,28227588,1492.197043
Sudan,Africa,1997,55.373,32160729,1632.210764
Swaziland,Africa,1992,58.474,962344,3553.0224
Swaziland,Africa,1997,54.289,1054486,3876.76846
Sweden,Europe,1992,78.16,8718867,23880.01683
Sweden,Europe,1997,79.39,8897619,25266.59499
Switzerland,Europe,1992,78.03,6995447,31871.5303
Switzerland,Europe,1997,79.37,7193761,32135.32301
Syria,Asia,1992,69.249,13219062,3340.542768
Syria,Asia,1997,71.527,15081016,4014.238972
Taiwan,Asia,1992,74.26,20686918,15215.6579
Taiwan,Asia,1997,75.25,21628605,20206.82098
Tanzania,Africa,1992,50.44,26605473,825.682454
Tanzania,Africa,1997,48.466,30686889,789.1862231
Thailand,Asia,1992,67.298,56667095,4616.896545
Thailand,Asia,1997,67.521,60216677,5852.625497
Togo,Africa,1992,58.061,3747553,1034.298904
Togo,Africa,1997,58.39,4320890,982.2869243
Trinidad and Tobago,Americas,1992,69.862,1183669,7370.990932
Trinidad and Tobago,Americas,1997,69.465,1138101,8792.573126
Tunisia,Africa,1992,70.001,8523077,4332.720164
Tunisia,Africa,1997,71.973,9231669,4876.798614
Turkey,Europe,1992,66.146,58179144,5678.348271
Turkey,Europe,1997,68.835,63047647,6601.429915
Uganda,Africa,1992,48.825,18252190,644.1707969
Uganda,Africa,1997,44.578,21210254,816.559081
United Kingdom,Europe,1992,76.42,57866349,22705.09254
United Kingdom,Europe,1997,77.218,58808266,26074.53136
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1997,76.81,272911760,35767.43303
Uruguay,Americas,1992,72.752,3149262,8137.004775
Uruguay,Americas,1997,74.223,3262838,9230.240708
Venezuela,Americas,1992,71.15,20265563,10733.92631
Venezuela,Americas,1997,72.146,22374398,10165.49518
Vietnam,Asia,1992,67.662,69940728,989.0231487
Vietnam,Asia,1997,70.672,76048996,1385.896769
West Bank and Gaza,Asia,1992,69.718,2104779,6017.654756
West Bank and Gaza,Asia,1997,71.096,2826046,7110.667619
"Yemen, Rep.",Asia,1992,55.599,13367997,1879.496673
"Yemen, Rep.",Asia,1997,58.02,15826497,2117.484526
Zambia,Africa,1992,46.1,8381163,1210.884633
Zambia,Africa,1997,40.238,9417789,1071.353818
Zimbabwe,Africa,1992,60.377,10704340,693.4207856
Zimbabwe,Africa,1997,46.809,11404948,792.4499603
